"x","y"
"1231",1972.63,1215
"1232",1972.63,1315
"1233",1972.63,1365
"1234",1972.63,1465
"1235",1972.63,1515
"1236",1972.63,1615
"1237",1972.63,1665
"1238",1972.63,1765
"1239",1972.63,1815
"1240",1972.63,1915
"1241",1972.63,1965
